組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BOFMDOE009V4N,X2,BXAE,,,1,1,2018/3/1 12:00:00,38
BOFMDOE009V4N,X2,BXBW,,,1,1,2018/3/1 12:00:00,39
BOFMDOE009V4N,X2,BXC3,,,1,1,2018/3/1 12:00:00,40
BOFMDOE009V4N,X2,PDK3,PT0225    M0201,,1,1,2018/3/1 12:00:00,41
BOFMDOE009V4N,X2,BQAG,,,1,1,2018/3/1 12:00:00,42
BONSC5Q4392CAP1,E,PDCA,AONSC5Q4392CAP,,1,1,2018/3/1 12:00:00,1
BONSC5Q4392CAP1,E,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,3
BONSC5Q4392CAP1,E,PDPS,,,1,1,2018/3/1 12:00:00,4
BONSC5Q4392CAP1,E,PDBA,PHWB3040-1M0004,,1,1,2018/3/1 12:00:00,5
BONSC5Q4392CAP1,E,PDEE,,,1,1,2018/3/1 12:00:00,6
BONSC5Q4392CAP1,E,PDDC,,,1,1,2018/3/1 12:00:00,7
BONSC5Q4392CAP1,E,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BONSC5Q4392CAP1,E,PDAL,,,1,1,2018/3/1 12:00:00,9
BONSC5Q4392CAP1,E,PDBB,PHWB3050-1M0004,,1,1,2018/3/1 12:00:00,10
BONSC5Q4392CAP1,E,PDEG,,,1,1,2018/3/1 12:00:00,11
BONSC5Q4392CAP1,E,PDDD,,,1,1,2018/3/1 12:00:00,12
BONSC5Q4392CAP1,E,PDPG,PYE022    M1032,,1,1,2018/3/1 12:00:00,14
BONSC5Q4392CAP1,E,PDAB,,,1,1,2018/3/1 12:00:00,15
BONSC5Q4392CAP1,E,PDTG,,,1,1,2018/3/1 12:00:00,16
BONSC5Q4392CAP1,E,PDH2,,,1,1,2018/3/1 12:00:00,17
BONSC5Q4392CAP1,E,PDIS,,,1,1,2018/3/1 12:00:00,18
BONSC5Q4392CAP1,E,PDMA,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,20
BONSC5Q4392CAP1,E,PDMB,,,1,1,2018/3/1 12:00:00,21
BONSC5Q4392CAP1,E,PDEA,,,1,1,2018/3/1 12:00:00,23
BONSC5Q4392CAP1,E,PDDT,,,1,1,2018/3/1 12:00:00,24
BONSC5Q4392CAP1,E,PDGA,,,1,1,2018/3/1 12:00:00,26
BONSC5Q4392CAP1,E,PDPX,PYE011    M0793,,1,1,2018/3/1 12:00:00,27
BONSC5Q4392CAP1,E,PDIT,,,1,1,2018/3/1 12:00:00,28
BONSC5Q4392CAP1,E,BTA1,,,1,1,2018/3/1 12:00:00,29
BONSC5Q4392CAP1,E,BGI2,,,1,1,2018/3/1 12:00:00,30
BONSC5Q4392CAP1,E,BGLA,,,1,1,2018/3/1 12:00:00,31
BONSC5Q4392CAP1,E,BGJ5,,,1,1,2018/3/1 12:00:00,32
BONSC5Q4392CAP1,E,BGK1,,,1,1,2018/3/1 12:00:00,33
BONSC5Q4392CAP1,E,BXAE,,,1,1,2018/3/1 12:00:00,34
BONSC5Q4392CAP1,E,BQAG,,,1,1,2018/3/1 12:00:00,35
BOOS17C314NLA,X2,PDGF,,,1,1,2018/3/1 12:00:00,1
BOOS17C314NLA,X2,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,2
BOOS17C314NLA,X2,PDPS,,,1,1,2018/3/1 12:00:00,3
BOOS17C314NLA,X2,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,4
BOOS17C314NLA,X2,PDEE,,,1,1,2018/3/1 12:00:00,5
BOOS17C314NLA,X2,PDDC,,,1,1,2018/3/1 12:00:00,6
BOOS17C314NLA,X2,PDPA,,,1,1,2018/3/1 12:00:00,7
BOOS17C314NLA,X2,PDAL,,,1,1,2018/3/1 12:00:00,8
BOOS17C314NLA,X2,PDQI,PKPGC,,1,1,2018/3/1 12:00:00,9
BOOS17C314NLA,X2,PDTH,,,1,1,2018/3/1 12:00:00,10
BOOS17C314NLA,X2,PDIS,,,1,1,2018/3/1 12:00:00,11
BOOS17C314NLA,X2,PDQZ,,,1,1,2018/3/1 12:00:00,12
BOOS17C314NLA,X2,BXBB,,,1,1,2018/3/1 12:00:00,13
BOOS17C314NLA,X2,BXBM,,,1,1,2018/3/1 12:00:00,14
BOOS17C314NLA,X2,PDAN,,,1,1,2018/3/1 12:00:00,15
BOOS17C314NLA,X2,PDH1,,,1,1,2018/3/1 12:00:00,16
BOOS17C314NLA,X2,PDGC,,,1,1,2018/3/1 12:00:00,17
BOOS17C314NLA,X2,BTA1,,,1,1,2018/3/1 12:00:00,18
BOOS17C314NLA,X2,BXAL,,,1,1,2018/3/1 12:00:00,19
BOOS17C314NLA,X2,BXBH,,,1,1,2018/3/1 12:00:00,20
BOOS17C314NLA,X2,BXB9,,,1,1,2018/3/1 12:00:00,21
BOOS17C314NLA,X2,C068,,,1,1,2018/3/1 12:00:00,22
BOOS17C314NLA,X2,C0C0-A,,,1,1,2018/3/1 12:00:00,23
BOOS17C314NLA,X2,C0EI,,,1,1,2018/3/1 12:00:00,24
BOOS17C314NLA,X2,BXAE,,,1,1,2018/3/1 12:00:00,25
BOOS17C314NLA,X2,BXBX,,,1,1,2018/3/1 12:00:00,26
BOOS17C314NLA,X2,BXBY,,,1,1,2018/3/1 12:00:00,27
BOOS17C314NLA,X2,BXC1,,,1,1,2018/3/1 12:00:00,28
BOOS17C314NLA,X2,BXC2,,,1,1,2018/3/1 12:00:00,29
BOOS17C314NLA,X2,BXA8,,,1,1,2018/3/1 12:00:00,30
BOOS17C314NLA,X2,BQA1,,,1,1,2018/3/1 12:00:00,31
BOOS17C314NLA,X2,PDK3,,,1,1,2018/3/1 12:00:00,32
BOOS17C314NLA,X2,BQAG,,,1,1,2018/3/1 12:00:00,33
BOOS37C312NL,H,PDCA,AOOS37C312NL,,1,1,2018/3/1 12:00:00,1
BOOS37C312NL,H,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,3
BOOS37C312NL,H,PDPS,,,1,1,2018/3/1 12:00:00,4
BOOS37C312NL,H,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,5
BOOS37C312NL,H,PDEE,,,1,1,2018/3/1 12:00:00,6
BOOS37C312NL,H,PDDC,,,1,1,2018/3/1 12:00:00,7
BOOS37C312NL,H,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BOOS37C312NL,H,PDAL,,,1,1,2018/3/1 12:00:00,9
BOOS37C312NL,H,PDTH,,,1,1,2018/3/1 12:00:00,10
BOOS37C312NL,H,PDIS,,,1,1,2018/3/1 12:00:00,11
BOOS37C312NL,H,PDQP,PYE059    M0793,,1,1,2018/3/1 12:00:00,12
BOOS37C312NL,H,PDIT,,,1,1,2018/3/1 12:00:00,13
BOOS37C312NL,H,PDQZ,,,1,1,2018/3/1 12:00:00,14
BOOS37C312NL,H,BXBB,,,1,1,2018/3/1 12:00:00,15
BOOS37C312NL,H,BXBM,,,1,1,2018/3/1 12:00:00,16
BOOS37C312NL,H,BXBN,,,1,1,2018/3/1 12:00:00,17
BOOS37C312NL,H,PDAN,,,1,1,2018/3/1 12:00:00,18
BOOS37C312NL,H,PDH1,,,1,1,2018/3/1 12:00:00,19
BOOS37C312NL,H,BTA1,,,1,1,2018/3/1 12:00:00,21
BOOS37C312NL,H,BXAL,,,1,1,2018/3/1 12:00:00,22
BOOS37C312NL,H,BXB9,,,1,1,2018/3/1 12:00:00,23
BOOS37C312NL,H,BXBH,,,1,1,2018/3/1 12:00:00,24
BOOS37C312NL,H,C068,,,1,1,2018/3/1 12:00:00,25
BOOS37C312NL,H,C0C0-A,PC45803129M0194,,1,1,2018/3/1 12:00:00,26
BOOS37C312NL,H,C0EI,,,1,1,2018/3/1 12:00:00,27
BOOS37C312NL,H,BXBV-A,,,1,1,2018/3/1 12:00:00,28
BOOS37C312NL,H,BXAE,,,1,1,2018/3/1 12:00:00,29
BOOS37C312NL,H,BXBX,,,1,1,2018/3/1 12:00:00,30
BOOS37C312NL,H,BXBY,,,1,1,2018/3/1 12:00:00,31
BOOS37C312NL,H,BXC1,,,1,1,2018/3/1 12:00:00,32
BOOS37C312NL,H,BXC2,,,1,1,2018/3/1 12:00:00,33
BOOS37C312NL,H,BXA8,,,1,1,2018/3/1 12:00:00,34
BOOS37C312NL,H,BQAG,,,1,1,2018/3/1 12:00:00,35
BOOS38C401NL,V,PDCA,AOOS38C401NL,,1,1,2018/3/1 12:00:00,1
BOOS38C401NL,V,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,3
BOOS38C401NL,V,PDPS,,,1,1,2018/3/1 12:00:00,4
BOOS38C401NL,V,PDBA,PHAF5565M1M0213,,1,1,2018/3/1 12:00:00,5
BOOS38C401NL,V,PDEE,,,1,1,2018/3/1 12:00:00,6
BOOS38C401NL,V,PDDC,,,1,1,2018/3/1 12:00:00,7
BOOS38C401NL,V,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BOOS38C401NL,V,PDAL,,,1,1,2018/3/1 12:00:00,9
BOOS38C401NL,V,PDTH,,,1,1,2018/3/1 12:00:00,10
BOOS38C401NL,V,PDIS,,,1,1,2018/3/1 12:00:00,11
BOOS38C401NL,V,PDQP,PYE059    M0793,,1,1,2018/3/1 12:00:00,12
BOOS38C401NL,V,PDIT,,,1,1,2018/3/1 12:00:00,13
BOOS38C401NL,V,PDQZ,,,1,1,2018/3/1 12:00:00,14
BOOS38C401NL,V,BXBB,,,1,1,2018/3/1 12:00:00,15
BOOS38C401NL,V,BXBF,,,1,1,2018/3/1 12:00:00,16
BOOS38C401NL,V,BXBN,,,1,1,2018/3/1 12:00:00,17
BOOS38C401NL,V,PDAN,,,1,1,2018/3/1 12:00:00,18
BOOS38C401NL,V,PDH1,,,1,1,2018/3/1 12:00:00,19
BOOS38C401NL,V,BTA1,,,1,1,2018/3/1 12:00:00,21
BOOS38C401NL,V,BXAL,,,1,1,2018/3/1 12:00:00,22
BOOS38C401NL,V,BXBH,,,1,1,2018/3/1 12:00:00,23
BOOS38C401NL,V,BXB9,,,1,1,2018/3/1 12:00:00,24
BOOS38C401NL,V,C068,,,1,1,2018/3/1 12:00:00,25
BOOS38C401NL,V,C0C0-A,PC45803129M0194,,1,1,2018/3/1 12:00:00,26
BOOS38C401NL,V,C0EI,,,1,1,2018/3/1 12:00:00,27
BOOS38C401NL,V,BXAE,,,1,1,2018/3/1 12:00:00,28
BOOS38C401NL,V,BXBX,,,1,1,2018/3/1 12:00:00,29
BOOS38C401NL,V,BXBY,,,1,1,2018/3/1 12:00:00,30
BOOS38C401NL,V,BXC1,,,1,1,2018/3/1 12:00:00,31
BOOS38C401NL,V,BXC2,,,1,1,2018/3/1 12:00:00,32
BOOS38C401NL,V,BXA8,,,1,1,2018/3/1 12:00:00,33
BOOS38C401NL,V,BQAG,,,1,1,2018/3/1 12:00:00,34
BOOS4053C1102L,B,PDCA,AOOS0296C103L,,1,1,2018/3/1 12:00:00,1
BOOS4053C1102L,B,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,3
BOOS4053C1102L,B,PDPS,,,1,1,2018/3/1 12:00:00,4
BOOS4053C1102L,B,PDBA,PHWB3065-1M0004,,1,1,2018/3/1 12:00:00,5
BOOS4053C1102L,B,PDEE,,,1,1,2018/3/1 12:00:00,6
BOOS4053C1102L,B,PDDC,,,1,1,2018/3/1 12:00:00,7
BOOS4053C1102L,B,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BOOS4053C1102L,B,PDAL,,,1,1,2018/3/1 12:00:00,9
BOOS4053C1102L,B,PDQI,PKPGC,,1,1,2018/3/1 12:00:00,10
BOOS4053C1102L,B,PDTH,,,1,1,2018/3/1 12:00:00,11
BOOS4053C1102L,B,PDIS,,,1,1,2018/3/1 12:00:00,12
BOOS4053C1102L,B,PDQZ,,,1,1,2018/3/1 12:00:00,13
BOOS4053C1102L,B,BXBB-A,,,1,1,2018/3/1 12:00:00,14
BOOS4053C1102L,B,BXBM,,,1,1,2018/3/1 12:00:00,15
BOOS4053C1102L,B,PDAN,,,1,1,2018/3/1 12:00:00,16
BOOS4053C1102L,B,PDH1,,,1,1,2018/3/1 12:00:00,17
BOOS4053C1102L,B,BTA1,,,1,1,2018/3/1 12:00:00,18
BOOS4053C1102L,B,C08G,PER045010RM0192,,1,1,2018/3/1 12:00:00,19
BOOS4053C1102L,B,BXB9,,,1,1,2018/3/1 12:00:00,20
BOOS4053C1102L,B,BXBH,,,1,1,2018/3/1 12:00:00,21
BOOS4053C1102L,B,C0C0-A,PC45803129M0194,,1,1,2018/3/1 12:00:00,22
BOOS4053C1102L,B,C0EI,,,1,1,2018/3/1 12:00:00,23
BOOS4053C1102L,B,BXBV-A,,,1,1,2018/3/1 12:00:00,24
BOOS4053C1102L,B,BXAE,,,1,1,2018/3/1 12:00:00,25
BOOS4053C1102L,B,BXBX,,,1,1,2018/3/1 12:00:00,26
BOOS4053C1102L,B,BXBY,,,1,1,2018/3/1 12:00:00,27
BOOS4053C1102L,B,BXC1,,,1,1,2018/3/1 12:00:00,28
BOOS4053C1102L,B,BXC2,,,1,1,2018/3/1 12:00:00,29
BOOS4053C1102L,B,BXCK,,,1,1,2018/3/1 12:00:00,30
BOOS4053C1102L,B,PDGC,,,1,1,2018/3/1 12:00:00,31
BOOS4053C1102L,B,BQA1,,,1,1,2018/3/1 12:00:00,32
BOOS4053C1102L,B,PDHD,,,1,1,2018/3/1 12:00:00,33
BOOS4053C1102L,B,BXCC,,,1,1,2018/3/1 12:00:00,34
BOOS4053C1102L,B,PDHF,,,1,1,2018/3/1 12:00:00,35
BOOS4053C1102L,B,BXCD,,,1,1,2018/3/1 12:00:00,36
BOOS4053C1102L,B,PDK3,,,1,1,2018/3/1 12:00:00,37
BOOS4053C1102L,B,BQAG,,,1,1,2018/3/1 12:00:00,38
BOOS5468L,T,PDCA,AOOS5468L,,1,1,2018/3/1 12:00:00,1
BOOS5468L,T,PDSA,PUCU4N0A  M0196,,1,1,2018/3/1 12:00:00,3
BOOS5468L,T,PDPS,,,1,1,2018/3/1 12:00:00,4
BOOS5468L,T,PDBA,PHWB3075-1M0004,,1,1,2018/3/1 12:00:00,5
BOOS5468L,T,PDEE,,,1,1,2018/3/1 12:00:00,6
BOOS5468L,T,PDDC,,,1,1,2018/3/1 12:00:00,7
BOOS5468L,T,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BOOS5468L,T,PDAL,,,1,1,2018/3/1 12:00:00,9
BOOS5468L,T,PDTH,,,1,1,2018/3/1 12:00:00,10
BOOS5468L,T,PDIS,,,1,1,2018/3/1 12:00:00,11
BOOS5468L,T,PDQP,PYE059    M0793,,1,1,2018/3/1 12:00:00,12
BOOS5468L,T,PDIT,,,1,1,2018/3/1 12:00:00,13
BOOS5468L,T,PDQZ,,,1,1,2018/3/1 12:00:00,14
BOOS5468L,T,BXBB-A,,,1,1,2018/3/1 12:00:00,15
BOOS5468L,T,BXBM,,,1,1,2018/3/1 12:00:00,16
BOOS5468L,T,PDAN,,,1,1,2018/3/1 12:00:00,17
BOOS5468L,T,PDH1,,,1,1,2018/3/1 12:00:00,18
BOOS5468L,T,BTA1,,,1,1,2018/3/1 12:00:00,20
BOOS5468L,T,BXAL,,,1,1,2018/3/1 12:00:00,21
BOOS5468L,T,BXB9,,,1,1,2018/3/1 12:00:00,22
BOOS5468L,T,BXBH,,,1,1,2018/3/1 12:00:00,23
BOOS5468L,T,C068,,,1,1,2018/3/1 12:00:00,24
BOOS5468L,T,C0C0-A,PC45803129M0194,,1,1,2018/3/1 12:00:00,25
BOOS5468L,T,C0EI,,,1,1,2018/3/1 12:00:00,26
BOOS5468L,T,BXBV-A,,,1,1,2018/3/1 12:00:00,27
BOOS5468L,T,BXAE,,,1,1,2018/3/1 12:00:00,28
BOOS5468L,T,BXBX,,,1,1,2018/3/1 12:00:00,29
BOOS5468L,T,BXBY,,,1,1,2018/3/1 12:00:00,30
BOOS5468L,T,BXC1,,,1,1,2018/3/1 12:00:00,31
BOOS5468L,T,BXC2,,,1,1,2018/3/1 12:00:00,32
BOOS5468L,T,BXA8,,,1,1,2018/3/1 12:00:00,33
BOOS5468L,T,BQAG,,,1,1,2018/3/1 12:00:00,34
BTSF07G13R3S,O,PDCA,ATSF07G13R1S,,1,1,2018/3/1 12:00:00,1
BTSF07G13R3S,O,PDSA,PUCU4N0A1 M0196,,1,1,2018/3/1 12:00:00,3
BTSF07G13R3S,O,PDPS,,,1,1,2018/3/1 12:00:00,4
BTSF07G13R3S,O,PDBA,PHWB3055-1M0004,,1,1,2018/3/1 12:00:00,5
BTSF07G13R3S,O,PDEE,,,1,1,2018/3/1 12:00:00,6
BTSF07G13R3S,O,PDDC,,,1,1,2018/3/1 12:00:00,7
BTSF07G13R3S,O,PDPA,PYE011    M0793,,1,1,2018/3/1 12:00:00,8
BTSF07G13R3S,O,PDAL,,,1,1,2018/3/1 12:00:00,9
BTSF07G13R3S,O,PDTG,,,1,1,2018/3/1 12:00:00,10
BTSF07G13R3S,O,PDIS,,,1,1,2018/3/1 12:00:00,11
BTSF07G13R3S,O,PDMA,P2CAG23KHPM0174,,1,1,2018/3/1 12:00:00,13
BTSF07G13R3S,O,PDEA,,,1,1,2018/3/1 12:00:00,15
BTSF07G13R3S,O,PDDT,,,1,1,2018/3/1 12:00:00,16
BTSF07G13R3S,O,PDGA,,,1,1,2018/3/1 12:00:00,18
BTSF07G13R3S,O,PDPX,PYE022    M1032,,1,1,2018/3/1 12:00:00,19
BTSF07G13R3S,O,PDIT,,,1,1,2018/3/1 12:00:00,20
BTSF07G13R3S,O,BTA1,,,1,1,2018/3/1 12:00:00,21
BTSF07G13R3S,O,BXAF,,,1,1,2018/3/1 12:00:00,22
CCISDETROIT,X2,C0BA,3BS1608-1 C1502,,1,1,2018/3/1 12:00:00,1
CCISDETROIT,X2,C050,,,1,1,2018/3/1 12:00:00,2
CCISDETROIT,X2,C060,,,1,1,2018/3/1 12:00:00,3
CCISDETROIT,X2,C071,,,1,1,2018/3/1 12:00:00,4
CCISDETROIT,X2,C068,,,1,1,2018/3/1 12:00:00,5
CCISDETROIT,X2,C0IT,PC38401908M0194,,1,1,2018/3/1 12:00:00,6
CCISDETROIT,X2,C072,,,1,1,2018/3/1 12:00:00,7
CCISDETROIT,X2,C0B9,DCISDETROIT,,1,1,2018/3/1 12:00:00,8
CCISDETROIT,X2,C073,,,1,1,2018/3/1 12:00:00,9
CCISDETROIT,X2,C09C,,,1,1,2018/3/1 12:00:00,10
CCISDETROIT,X2,C08G,PER030006 M0292,,1,1,2018/3/1 12:00:00,11
CCISDETROIT,X2,C074,,,1,1,2018/3/1 12:00:00,12
CCISDETROIT,X2,C004,PT4INCLIP C1502,,1,1,2018/3/1 12:00:00,13
CCISDETROIT,X2,C0FA,,,1,1,2018/3/1 12:00:00,14
CCISK2PKG,X6,C068,BCISLB5E39C1502,,1,1,2018/3/1 12:00:00,1
CCISK2PKG,X6,C0IT,,,1,1,2018/3/1 12:00:00,2
CCISK2PKG,X6,C070,,,1,1,2018/3/1 12:00:00,3
CCISK2PKG,X6,C0BC,,,1,1,2018/3/1 12:00:00,4
CCISK2PKG,X6,C091,,,1,1,2018/3/1 12:00:00,5
CCISK2PKG,X6,C071,,,1,1,2018/3/1 12:00:00,6
CCISK2PKG,X6,C0B0,,,1,1,2018/3/1 12:00:00,7
CCISK2PKG,X6,C020,,,1,1,2018/3/1 12:00:00,8
CCISK2PKG,X6,C072,,,1,1,2018/3/1 12:00:00,9
CCISK2PKG,X6,C0C0,,,1,1,2018/3/1 12:00:00,10
CCISK2PKG,X6,C073,,,1,1,2018/3/1 12:00:00,11
CCISK2PKG,X6,C0F0,,,1,1,2018/3/1 12:00:00,12
CCISK2PKG,X6,C0GX,,,1,1,2018/3/1 12:00:00,13
CCISK2PKG,X6,C02G,,,1,1,2018/3/1 12:00:00,14
CCISK2PKG,X6,C022,,,1,1,2018/3/1 12:00:00,15
CCISK2PKG,X6,C074,,,1,1,2018/3/1 12:00:00,16
CCISK2PKG,X6,C09C,,,1,1,2018/3/1 12:00:00,17
CCISK2PKG,X6,C08G,,,1,1,2018/3/1 12:00:00,18
CCISK2PKG,X6,C075,,,1,1,2018/3/1 12:00:00,19
CCISK2PKG,X6,C004,,,1,1,2018/3/1 12:00:00,20
CCISK2PKG,X6,C0FA,,,1,1,2018/3/1 12:00:00,21
CELP60419719,X4,C010,BKDCB7R56 C2252,,1,1,2018/3/1 12:00:00,1
CELP60419719,X4,C030,9PWAC4C   M0142,,1,1,2018/3/1 12:00:00,2
CELP60419719,X4,C040,1B1002J3X1C2252,,1,1,2018/3/1 12:00:00,3
CELP60419719,X4,C050,,,1,1,2018/3/1 12:00:00,4
CELP60419719,X4,C060,,,1,1,2018/3/1 12:00:00,5
CELP60419719,X4,C070,,,1,1,2018/3/1 12:00:00,6
CELP60419719,X4,C031,9PWAC4C   M0142,,1,1,2018/3/1 12:00:00,7
CELP60419719,X4,C041,ELSHM12002C2252,,1,1,2018/3/1 12:00:00,8
CELP60419719,X4,C051,,,1,1,2018/3/1 12:00:00,9
CELP60419719,X4,C054,9WNSAC06P3M0142,,1,1,2018/3/1 12:00:00,10
CELP60419719,X4,C061,,,1,1,2018/3/1 12:00:00,11
CELP60419719,X4,C071,,,1,1,2018/3/1 12:00:00,12
CELP60419719,X4,C0F0,,,1,1,2018/3/1 12:00:00,13
CELP60419719,X4,C0B0,512299001 C2252,,1,1,2018/3/1 12:00:00,14
CELP60419719,X4,C02G,,,1,1,2018/3/1 12:00:00,15
CELP60419719,X4,C020,,,1,1,2018/3/1 12:00:00,16
CELP60419719,X4,C068,,,1,1,2018/3/1 12:00:00,17
CELP60419719,X4,C0C0,PC38401908M0194,,1,1,2018/3/1 12:00:00,18
CELP60419719,X4,C0F1,,,1,1,2018/3/1 12:00:00,19
CELP60419719,X4,C0B1,51013091  C2252,,1,1,2018/3/1 12:00:00,20
CELP60419719,X4,C02H,,,1,1,2018/3/1 12:00:00,21
CELP60419719,X4,C021,,,1,1,2018/3/1 12:00:00,22
CELP60419719,X4,C0B2,8A1853-TX C2252,,1,1,2018/3/1 12:00:00,23
CELP60419719,X4,C0JK,,,1,1,2018/3/1 12:00:00,24
CELP60419719,X4,C022,,,1,1,2018/3/1 12:00:00,25
CELP60419719,X4,C069,,,1,1,2018/3/1 12:00:00,26
CELP60419719,X4,C0C1,PC38401908M0194,,1,1,2018/3/1 12:00:00,27
CELP60419719,X4,C0DP,86842119D C2252,,1,1,2018/3/1 12:00:00,28
CELP60419719,X4,C0JR,,,1,1,2018/3/1 12:00:00,29
CELP60419719,X4,C023,,,1,1,2018/3/1 12:00:00,30
CELP60419719,X4,C06A,,,1,1,2018/3/1 12:00:00,31
CELP60419719,X4,C0B3,5181004243C2252,,1,1,2018/3/1 12:00:00,32
CELP60419719,X4,C0JS,,,1,1,2018/3/1 12:00:00,33
CELP60419719,X4,C024,,,1,1,2018/3/1 12:00:00,34
CELP60419719,X4,C0D6,8323LPA   C2252,,1,1,2018/3/1 12:00:00,35
CELP60419719,X4,C025,,,1,1,2018/3/1 12:00:00,36
CELP60419719,X4,C004,PTUPS001  M0465,,1,1,2018/3/1 12:00:00,37
CELP60419719,X4,C072,,,1,1,2018/3/1 12:00:00,39
CELP60419719,X4,C0FA,,,1,1,2018/3/1 12:00:00,40
CINP159-2831V2,O,C020,QSUB0177R2C1978,,1,1,2018/3/1 12:00:00,1
CINP159-2831V2,O,C030,9PWAC5B   M0089,,1,1,2018/3/1 12:00:00,2
CINP159-2831V2,O,C040,21H10025M3C1978,,1,1,2018/3/1 12:00:00,3
CINP159-2831V2,O,C050,,,1,1,2018/3/1 12:00:00,4
CINP159-2831V2,O,C061,,,1,1,2018/3/1 12:00:00,5
CINP159-2831V2,O,C07X,,,1,1,2018/3/1 12:00:00,6
CINP159-2831V2,O,C071,,,1,1,2018/3/1 12:00:00,7
CINP159-2831V2,O,C0B0,51T443-116C1978,,1,1,2018/3/1 12:00:00,8
CINP159-2831V2,O,C021,,,1,1,2018/3/1 12:00:00,9
CINP159-2831V2,O,C072,,,1,1,2018/3/1 12:00:00,10
CINP159-2831V2,O,C068,,,1,1,2018/3/1 12:00:00,11
CINP159-2831V2,O,C0C0,PC2912R35 M0053,,1,1,2018/3/1 12:00:00,12
CINP159-2831V2,O,CW06,,,1,1,2018/3/1 12:00:00,13
CINP159-2831V2,O,C073,,,1,1,2018/3/1 12:00:00,14
CINP159-2831V2,O,C0F0,,,1,1,2018/3/1 12:00:00,15
CINP159-2831V2,O,C069,,,1,1,2018/3/1 12:00:00,16
CINP159-2831V2,O,C0G7,LP-LID0090C1978,,1,1,2018/3/1 12:00:00,17
CINP159-2831V2,O,C02R,,,1,1,2018/3/1 12:00:00,19
CINP159-2831V2,O,C074,,,1,1,2018/3/1 12:00:00,20
CINP159-2831V2,O,C010,,,1,1,2018/3/1 12:00:00,21
CINP159-2831V2,O,C0GD,PVU275172KM0197,,1,1,2018/3/1 12:00:00,22
CINP159-2831V2,O,C08G,PED030010BM0192,,1,1,2018/3/1 12:00:00,23
CINP159-2831V2,O,C075,,,1,1,2018/3/1 12:00:00,24
CINP159-2831V2,O,C0EK,,,1,1,2018/3/1 12:00:00,25
CINP159-2831V2,O,C076,,,1,1,2018/3/1 12:00:00,27
CINP159-2831V2,O,C004,PTTRY-0103C1978,,1,1,2018/3/1 12:00:00,28
CINP159-2831V2,O,C0F1,,,1,1,2018/3/1 12:00:00,29
CINP159-2831V2,O,C02S,,,1,1,2018/3/1 12:00:00,30
CINP159-2831V2,O,C005,PASAS0240 M0562,,1,1,2018/3/1 12:00:00,31
CINP159-2831V2,O,C0FA,,,1,1,2018/3/1 12:00:00,32
CINP17-21089,D,C02R,PVA911-325M1047,,1,1,2018/3/1 12:00:00,1
CINP17-21089,D,C0GS,DINP17-21089,,1,1,2018/3/1 12:00:00,2
CINP17-21089,D,C0B0,2W56N-0173M0233,,1,1,2018/3/1 12:00:00,3
CINP17-21089,D,C020,,,1,1,2018/3/1 12:00:00,4
CINP17-21089,D,C0B1,2W10N-0129M0233,,1,1,2018/3/1 12:00:00,5
CINP17-21089,D,C021,,,1,1,2018/3/1 12:00:00,6
CINP17-21089,D,C070,,,1,1,2018/3/1 12:00:00,7
CINP17-21089,D,C068,,,1,1,2018/3/1 12:00:00,8
CINP17-21089,D,C0C0,PC2912R35 M0053,,1,1,2018/3/1 12:00:00,9
CINP17-21089,D,C071,,,1,1,2018/3/1 12:00:00,10
CINP17-21089,D,C072,,,1,1,2018/3/1 12:00:00,11
CINP17-21089,D,C0F1,,,1,1,2018/3/1 12:00:00,12
CINP17-21089,D,C069,,,1,1,2018/3/1 12:00:00,13
CINP17-21089,D,C0G7,LP17WS135 A1978,,1,1,2018/3/1 12:00:00,14
CINP17-21089,D,C02A-B,,,1,1,2018/3/1 12:00:00,15
CINP17-21089,D,C02S,,,1,1,2018/3/1 12:00:00,16
CINP17-21089,D,C073,,,1,1,2018/3/1 12:00:00,17
CINP17-21089,D,C010,,,1,1,2018/3/1 12:00:00,18
CINP17-21089,D,C074,,,1,1,2018/3/1 12:00:00,19
CINP17-21089,D,C0EK,,,1,1,2018/3/1 12:00:00,20
CINP17-21089,D,C0GA,,,1,1,2018/3/1 12:00:00,22
CINP17-21089,D,C075,,,1,1,2018/3/1 12:00:00,23
CINP17-21089,D,C004,PTPTR15156C1978,,1,1,2018/3/1 12:00:00,24
CINP17-21089,D,C0FA,,,1,1,2018/3/1 12:00:00,25
