作業方法,製程,製程名稱,lastUpdatedDate,順序
C0C0,C0C0,C0C0,2018/3/1 12:00:00,9
C071,C071,C071,2018/3/1 12:00:00,10
C072,C072,C072,2018/3/1 12:00:00,11
C0F1,C0F1,C0F1,2018/3/1 12:00:00,12
C069,C069,C069,2018/3/1 12:00:00,13
C0G7,C0G7,C0G7,2018/3/1 12:00:00,14
C02A-B,C02A-B,C02A-B,2018/3/1 12:00:00,15
C02S,C02S,C02S,2018/3/1 12:00:00,16
C073,C073,C073,2018/3/1 12:00:00,17
C010,C010,C010,2018/3/1 12:00:00,18
C074,C074,C074,2018/3/1 12:00:00,19
C0EK,C0EK,C0EK,2018/3/1 12:00:00,20
C0GA,C0GA,C0GA,2018/3/1 12:00:00,22
C075,C075,C075,2018/3/1 12:00:00,23
C004,C004,C004,2018/3/1 12:00:00,24
C0FA,C0FA,C0FA,2018/3/1 12:00:00,25
C01F,C01F,C01F,2018/3/1 12:00:00,1
C02R,C02R,C02R,2018/3/1 12:00:00,4
C07X,C07X,C07X,2018/3/1 12:00:00,10
C02S,C02S,C02S,2018/3/1 12:00:00,13
C06I,C06I,C06I,2018/3/1 12:00:00,14
C02T,C02T,C02T,2018/3/1 12:00:00,15
C0KQ,C0KQ,C0KQ,2018/3/1 12:00:00,17
C021,C021,C021,2018/3/1 12:00:00,18
C0DG,C0DG,C0DG,2018/3/1 12:00:00,19
C022,C022,C022,2018/3/1 12:00:00,20
C072,C072,C072,2018/3/1 12:00:00,21
C0F0,C0F0,C0F0,2018/3/1 12:00:00,22
C0GT,C0GT,C0GT,2018/3/1 12:00:00,23
C0M6,C0M6,C0M6,2018/3/1 12:00:00,24
C0M2,C0M2,C0M2,2018/3/1 12:00:00,25
C094-B,C094-B,C094-B,2018/3/1 12:00:00,27
C095,C095,C095,2018/3/1 12:00:00,28
C0M0,C0M0,C0M0,2018/3/1 12:00:00,29
C073,C073,C073,2018/3/1 12:00:00,30
C0F1,C0F1,C0F1,2018/3/1 12:00:00,31
C004,C004,C004,2018/3/1 12:00:00,32
C0FA,C0FA,C0FA,2018/3/1 12:00:00,33
C038,C038,C038,2018/3/1 12:00:00,1
C0BA,C0BA,C0BA,2018/3/1 12:00:00,2
C070-B,C070-B,C070-B,2018/3/1 12:00:00,3
C071-B,C071-B,C071-B,2018/3/1 12:00:00,5
C060,C060,C060,2018/3/1 12:00:00,6
C07X,C07X,C07X,2018/3/1 12:00:00,8
C01G,C01G,C01G,2018/3/1 12:00:00,10
C0F0-B,C0F0-B,C0F0-B,2018/3/1 12:00:00,15
C0HU-B,C0HU-B,C0HU-B,2018/3/1 12:00:00,16
C0FA,C0FA,C0FA,2018/3/1 12:00:00,17
C004-B,C004-B,C004-B,2018/3/1 12:00:00,18
C0B0,C0B0,C0B0,2018/3/1 12:00:00,1
C05P,C05P,C05P,2018/3/1 12:00:00,2
C0C0,C0C0,C0C0,2018/3/1 12:00:00,4
C0GW,C0GW,C0GW,2018/3/1 12:00:00,5
C020,C020,C020,2018/3/1 12:00:00,6
C0B1,C0B1,C0B1,2018/3/1 12:00:00,8
C0JL,C0JL,C0JL,2018/3/1 12:00:00,9
C0D6,C0D6,C0D6,2018/3/1 12:00:00,11
C0JM,C0JM,C0JM,2018/3/1 12:00:00,12
C073,C073,C073,2018/3/1 12:00:00,13
C09K,C09K,C09K,2018/3/1 12:00:00,14
C074,C074,C074,2018/3/1 12:00:00,15
C0F1,C0F1,C0F1,2018/3/1 12:00:00,16
C0K8,C0K8,C0K8,2018/3/1 12:00:00,17
C0FA,C0FA,C0FA,2018/3/1 12:00:00,18
C011,C011,C011,2018/3/1 12:00:00,2
C068,C068,C068,2018/3/1 12:00:00,4
C0B0,C0B0,C0B0,2018/3/1 12:00:00,5
C0HU,C0HU,C0HU,2018/3/1 12:00:00,7
C069,C069,C069,2018/3/1 12:00:00,8
C0CC,C0CC,C0CC,2018/3/1 12:00:00,9
C0DP,C0DP,C0DP,2018/3/1 12:00:00,10
C02G,C02G,C02G,2018/3/1 12:00:00,11
C08G,C08G,C08G,2018/3/1 12:00:00,12
C071,C071,C071,2018/3/1 12:00:00,13
C004,C004,C004,2018/3/1 12:00:00,14
C0K8,C0K8,C0K8,2018/3/1 12:00:00,15
C09U,C09U,C09U,2018/3/1 12:00:00,16
C094,C094,C094,2018/3/1 12:00:00,17
C0FB,C0FB,C0FB,2018/3/1 12:00:00,18
C09G,C09G,C09G,2018/3/1 12:00:00,19
C07E,C07E,C07E,2018/3/1 12:00:00,20
C0F0,C0F0,C0F0,2018/3/1 12:00:00,21
C0FA,C0FA,C0FA,2018/3/1 12:00:00,22
C020,C020,C020,2018/3/1 12:00:00,2
C068-B,C068-B,C068-B,2018/3/1 12:00:00,3
C0JG,C0JG,C0JG,2018/3/1 12:00:00,6
C09C,C09C,C09C,2018/3/1 12:00:00,7
C09D,C09D,C09D,2018/3/1 12:00:00,8
C08G,C08G,C08G,2018/3/1 12:00:00,9
C070,C070,C070,2018/3/1 12:00:00,10
C07E,C07E,C07E,2018/3/1 12:00:00,11
C004,C004,C004,2018/3/1 12:00:00,12
C0FA,C0FA,C0FA,2018/3/1 12:00:00,13
C08G,C08G,C08G,2018/3/1 12:00:00,8
C070,C070,C070,2018/3/1 12:00:00,9
C0GW,C0GW,C0GW,2018/3/1 12:00:00,10
C021,C021,C021,2018/3/1 12:00:00,11
C0GD,C0GD,C0GD,2018/3/1 12:00:00,12
C09D,C09D,C09D,2018/3/1 12:00:00,13
C07E,C07E,C07E,2018/3/1 12:00:00,14
C0F1,C0F1,C0F1,2018/3/1 12:00:00,15
C004,C004,C004,2018/3/1 12:00:00,16
C07K,C07K,C07K,2018/3/1 12:00:00,3
C0C0,C0C0,C0C0,2018/3/1 12:00:00,6
C0JG,C0JG,C0JG,2018/3/1 12:00:00,8
C09C,C09C,C09C,2018/3/1 12:00:00,9
C08G,C08G,C08G,2018/3/1 12:00:00,10
C071,C071,C071,2018/3/1 12:00:00,11
C0GS,C0GS,C0GS,2018/3/1 12:00:00,1
C0B0,C0B0,C0B0,2018/3/1 12:00:00,2
C070,C070,C070,2018/3/1 12:00:00,4
C0D6,C0D6,C0D6,2018/3/1 12:00:00,5
C0B1,C0B1,C0B1,2018/3/1 12:00:00,6
C02R,C02R,C02R,2018/3/1 12:00:00,8
C09M,C09M,C09M,2018/3/1 12:00:00,10
C0GE,C0GE,C0GE,2018/3/1 12:00:00,11
C0B2,C0B2,C0B2,2018/3/1 12:00:00,13
C0C0,C0C0,C0C0,2018/3/1 12:00:00,15
C0D7,C0D7,C0D7,2018/3/1 12:00:00,16
C020,C020,C020,2018/3/1 12:00:00,17
C074,C074,C074,2018/3/1 12:00:00,18
C0MB,C0MB,C0MB,2018/3/1 12:00:00,19
C0GD,C0GD,C0GD,2018/3/1 12:00:00,20
C0H0,C0H0,C0H0,2018/3/1 12:00:00,21
C0B3,C0B3,C0B3,2018/3/1 12:00:00,22
C0F1,C0F1,C0F1,2018/3/1 12:00:00,24
C094,C094,C094,2018/3/1 12:00:00,26
C0F2,C0F2,C0F2,2018/3/1 12:00:00,27
C0FA,C0FA,C0FA,2018/3/1 12:00:00,29
C094,C094,C094,2018/3/1 12:00:00,14
C070-B,C070-B,C070-B,2018/3/1 12:00:00,4
C050-B,C050-B,C050-B,2018/3/1 12:00:00,5
C0BA,C0BA,C0BA,2018/3/1 12:00:00,8
C072-B,C072-B,C072-B,2018/3/1 12:00:00,9
C051-B,C051-B,C051-B,2018/3/1 12:00:00,10
C07A-B,C07A-B,C07A-B,2018/3/1 12:00:00,11
C061,C061,C061,2018/3/1 12:00:00,12
C021,C021,C021,2018/3/1 12:00:00,14
C0D6,C0D6,C0D6,2018/3/1 12:00:00,15
C022,C022,C022,2018/3/1 12:00:00,16
C074,C074,C074,2018/3/1 12:00:00,17
C031,C031,C031,2018/3/1 12:00:00,19
C052-B,C052-B,C052-B,2018/3/1 12:00:00,20
C062-B,C062-B,C062-B,2018/3/1 12:00:00,21
C075,C075,C075,2018/3/1 12:00:00,22
C0F1,C0F1,C0F1,2018/3/1 12:00:00,23
C09C,C09C,C09C,2018/3/1 12:00:00,24
C07E,C07E,C07E,2018/3/1 12:00:00,25
C004,C004,C004,2018/3/1 12:00:00,26
C0FA,C0FA,C0FA,2018/3/1 12:00:00,27
C070,C070,C070,2018/3/1 12:00:00,2
C0GS,C0GS,C0GS,2018/3/1 12:00:00,3
C06E,C06E,C06E,2018/3/1 12:00:00,4
C02R,C02R,C02R,2018/3/1 12:00:00,5
C0D6,C0D6,C0D6,2018/3/1 12:00:00,6
C020,C020,C020,2018/3/1 12:00:00,7
C0B0,C0B0,C0B0,2018/3/1 12:00:00,9
C021,C021,C021,2018/3/1 12:00:00,10
C0C0,C0C0,C0C0,2018/3/1 12:00:00,11
C06F,C06F,C06F,2018/3/1 12:00:00,12
C02S,C02S,C02S,2018/3/1 12:00:00,14
C072,C072,C072,2018/3/1 12:00:00,15
C0DP,C0DP,C0DP,2018/3/1 12:00:00,16
C0GX,C0GX,C0GX,2018/3/1 12:00:00,17
C02G,C02G,C02G,2018/3/1 12:00:00,18
C073,C073,C073,2018/3/1 12:00:00,19
C06G,C06G,C06G,2018/3/1 12:00:00,22
C02T,C02T,C02T,2018/3/1 12:00:00,23
C069,C069,C069,2018/3/1 12:00:00,24
C0D7,C0D7,C0D7,2018/3/1 12:00:00,25
C074,C074,C074,2018/3/1 12:00:00,26
C023,C023,C023,2018/3/1 12:00:00,27
C075,C075,C075,2018/3/1 12:00:00,28
C038,C038,C038,2018/3/1 12:00:00,31
C048,C048,C048,2018/3/1 12:00:00,32
C076,C076,C076,2018/3/1 12:00:00,35
C08G,C08G,C08G,2018/3/1 12:00:00,36
C02V,C02V,C02V,2018/3/1 12:00:00,37
C077,C077,C077,2018/3/1 12:00:00,38
C0GT,C0GT,C0GT,2018/3/1 12:00:00,39
C094,C094,C094,2018/3/1 12:00:00,40
C07F,C07F,C07F,2018/3/1 12:00:00,41
C0F2,C0F2,C0F2,2018/3/1 12:00:00,42
C0I9,C0I9,C0I9,2018/3/1 12:00:00,43
C02W,C02W,C02W,2018/3/1 12:00:00,44
C004,C004,C004,2018/3/1 12:00:00,45
C0FA,C0FA,C0FA,2018/3/1 12:00:00,46
C072,C072,C072,2018/3/1 12:00:00,2
C051-B,C051-B,C051-B,2018/3/1 12:00:00,3
C062-B,C062-B,C062-B,2018/3/1 12:00:00,4
C073,C073,C073,2018/3/1 12:00:00,5
C02R,C02R,C02R,2018/3/1 12:00:00,6
C0D6,C0D6,C0D6,2018/3/1 12:00:00,7
C022-B,C022-B,C022-B,2018/3/1 12:00:00,8
C074,C074,C074,2018/3/1 12:00:00,9
C031,C031,C031,2018/3/1 12:00:00,11
C052-B,C052-B,C052-B,2018/3/1 12:00:00,12
C061-B,C061-B,C061-B,2018/3/1 12:00:00,13
C075,C075,C075,2018/3/1 12:00:00,14
C09C,C09C,C09C,2018/3/1 12:00:00,15
C08G,C08G,C08G,2018/3/1 12:00:00,16
C07E,C07E,C07E,2018/3/1 12:00:00,17
C0F1,C0F1,C0F1,2018/3/1 12:00:00,18
C004,C004,C004,2018/3/1 12:00:00,19
C0FA,C0FA,C0FA,2018/3/1 12:00:00,20
C08G,C08G,C08G,2018/3/1 12:00:00,6
C02S,C02S,C02S,2018/3/1 12:00:00,7
C0GS,C0GS,C0GS,2018/3/1 12:00:00,8
C061,C061,C061,2018/3/1 12:00:00,9
C02T,C02T,C02T,2018/3/1 12:00:00,10
C070,C070,C070,2018/3/1 12:00:00,12
C0B0,C0B0,C0B0,2018/3/1 12:00:00,13
C020,C020,C020,2018/3/1 12:00:00,14
C06E,C06E,C06E,2018/3/1 12:00:00,16
C071,C071,C071,2018/3/1 12:00:00,17
C0F0,C0F0,C0F0,2018/3/1 12:00:00,18
C02U,C02U,C02U,2018/3/1 12:00:00,19
C069,C069,C069,2018/3/1 12:00:00,20
C0KC,C0KC,C0KC,2018/3/1 12:00:00,21
C02V,C02V,C02V,2018/3/1 12:00:00,23
C038,C038,C038,2018/3/1 12:00:00,24
C048,C048,C048,2018/3/1 12:00:00,25
C051,C051,C051,2018/3/1 12:00:00,26
C01F,C01F,C01F,2018/3/1 12:00:00,27
C0GT,C0GT,C0GT,2018/3/1 12:00:00,28
C072,C072,C072,2018/3/1 12:00:00,29
C004,C004,C004,2018/3/1 12:00:00,30
C0FA,C0FA,C0FA,2018/3/1 12:00:00,31
C0B0,C0B0,C0B0,2018/3/1 12:00:00,12
C020,C020,C020,2018/3/1 12:00:00,13
C070,C070,C070,2018/3/1 12:00:00,14
C0B1,C0B1,C0B1,2018/3/1 12:00:00,15
C021,C021,C021,2018/3/1 12:00:00,16
C0C0,C0C0,C0C0,2018/3/1 12:00:00,17
C06F,C06F,C06F,2018/3/1 12:00:00,18
C071,C071,C071,2018/3/1 12:00:00,19
C0F0,C0F0,C0F0,2018/3/1 12:00:00,20
C02U,C02U,C02U,2018/3/1 12:00:00,21
C069,C069,C069,2018/3/1 12:00:00,22
C0KC,C0KC,C0KC,2018/3/1 12:00:00,23
C022,C022,C022,2018/3/1 12:00:00,24
C02V,C02V,C02V,2018/3/1 12:00:00,25
C038,C038,C038,2018/3/1 12:00:00,26
C048,C048,C048,2018/3/1 12:00:00,27
C051,C051,C051,2018/3/1 12:00:00,28
C010,C010,C010,2018/3/1 12:00:00,29
C0GT,C0GT,C0GT,2018/3/1 12:00:00,30
C072,C072,C072,2018/3/1 12:00:00,31
