作業方法,製程,製程名稱,lastUpdatedDate,順序
PDTG,PDTG,PDTG,2018/3/1 12:00:00,9
PDIS,PDIS,PDIS,2018/3/1 12:00:00,10
PDCB,PDCB,PDCB,2018/3/1 12:00:00,11
PDSB,PDSB,PDSB,2018/3/1 12:00:00,13
PDQW,PDQW,PDQW,2018/3/1 12:00:00,14
PDBB,PDBB,PDBB,2018/3/1 12:00:00,15
PDEG,PDEG,PDEG,2018/3/1 12:00:00,16
PDDD,PDDD,PDDD,2018/3/1 12:00:00,17
PDPG,PDPG,PDPG,2018/3/1 12:00:00,18
PDAQ,PDAQ,PDAQ,2018/3/1 12:00:00,19
PDTH,PDTH,PDTH,2018/3/1 12:00:00,20
PDIT,PDIT,PDIT,2018/3/1 12:00:00,21
PDGA,PDGA,PDGA,2018/3/1 12:00:00,22
PDPJ,PDPJ,PDPJ,2018/3/1 12:00:00,23
PDIU,PDIU,PDIU,2018/3/1 12:00:00,24
BTB2,BTB2,BTB2,2018/3/1 12:00:00,26
PDGC,PDGC,PDGC,2018/3/1 12:00:00,27
BXAF,BXAF,BXAF,2018/3/1 12:00:00,28
C08G,C08G,C08G,2018/3/1 12:00:00,29
BXAE,BXAE,BXAE,2018/3/1 12:00:00,30
BQAG,BQAG,BQAG,2018/3/1 12:00:00,31
PDMA,PDMA,PDMA,2018/3/1 12:00:00,15
PDEA,PDEA,PDEA,2018/3/1 12:00:00,17
PDDT,PDDT,PDDT,2018/3/1 12:00:00,18
PDMB,PDMB,PDMB,2018/3/1 12:00:00,20
PDMD,PDMD,PDMD,2018/3/1 12:00:00,22
PDEB,PDEB,PDEB,2018/3/1 12:00:00,24
PDDU,PDDU,PDDU,2018/3/1 12:00:00,25
PDGA,PDGA,PDGA,2018/3/1 12:00:00,27
PDPP,PDPP,PDPP,2018/3/1 12:00:00,28
PDIT,PDIT,PDIT,2018/3/1 12:00:00,29
BXBN,BXBN,BXBN,2018/3/1 12:00:00,30
BTA1,BTA1,BTA1,2018/3/1 12:00:00,32
BXC6,BXC6,BXC6,2018/3/1 12:00:00,33
BXAL,BXAL,BXAL,2018/3/1 12:00:00,34
BXBH-A,BXBH-A,BXBH-A,2018/3/1 12:00:00,35
BXBX,BXBX,BXBX,2018/3/1 12:00:00,36
BXBY,BXBY,BXBY,2018/3/1 12:00:00,37
BXC1,BXC1,BXC1,2018/3/1 12:00:00,38
BXC2,BXC2,BXC2,2018/3/1 12:00:00,39
BXA8,BXA8,BXA8,2018/3/1 12:00:00,40
BXAE,BXAE,BXAE,2018/3/1 12:00:00,41
PDBB,PDBB,PDBB,2018/3/1 12:00:00,10
PDEG,PDEG,PDEG,2018/3/1 12:00:00,11
PDDD,PDDD,PDDD,2018/3/1 12:00:00,12
PDAL,PDAL,PDAL,2018/3/1 12:00:00,13
PDPW,PDPW,PDPW,2018/3/1 12:00:00,14
PDTH,PDTH,PDTH,2018/3/1 12:00:00,15
PDIS,PDIS,PDIS,2018/3/1 12:00:00,16
PDMN,PDMN,PDMN,2018/3/1 12:00:00,17
PDH2,PDH2,PDH2,2018/3/1 12:00:00,18
PDQP,PDQP,PDQP,2018/3/1 12:00:00,19
BXC4,BXC4,BXC4,2018/3/1 12:00:00,20
PDGC,PDGC,PDGC,2018/3/1 12:00:00,21
PDIT,PDIT,PDIT,2018/3/1 12:00:00,23
PDQZ,PDQZ,PDQZ,2018/3/1 12:00:00,24
BXBB,BXBB,BXBB,2018/3/1 12:00:00,25
BXBN,BXBN,BXBN,2018/3/1 12:00:00,26
BXBM,BXBM,BXBM,2018/3/1 12:00:00,27
PDAN,PDAN,PDAN,2018/3/1 12:00:00,28
PDH1,PDH1,PDH1,2018/3/1 12:00:00,29
BXBH,BXBH,BXBH,2018/3/1 12:00:00,32
BXAE,BXAE,BXAE,2018/3/1 12:00:00,33
BXBX,BXBX,BXBX,2018/3/1 12:00:00,34
BXBY,BXBY,BXBY,2018/3/1 12:00:00,35
BXC1,BXC1,BXC1,2018/3/1 12:00:00,36
BXC2,BXC2,BXC2,2018/3/1 12:00:00,37
BXA8,BXA8,BXA8,2018/3/1 12:00:00,38
BXCB-A,BXCB-A,BXCB-A,2018/3/1 12:00:00,39
BQAG,BQAG,BQAG,2018/3/1 12:00:00,41
PDPW,PDPW,PDPW,2018/3/1 12:00:00,10
BXBB,BXBB,BXBB,2018/3/1 12:00:00,13
PDRG,PDRG,PDRG,2018/3/1 12:00:00,14
BXBN,BXBN,BXBN,2018/3/1 12:00:00,15
BXBM,BXBM,BXBM,2018/3/1 12:00:00,16
PDAN,PDAN,PDAN,2018/3/1 12:00:00,17
PDH1,PDH1,PDH1,2018/3/1 12:00:00,18
BTA1,BTA1,BTA1,2018/3/1 12:00:00,19
BXAL,BXAL,BXAL,2018/3/1 12:00:00,20
BXBH,BXBH,BXBH,2018/3/1 12:00:00,21
PDGC,PDGC,PDGC,2018/3/1 12:00:00,22
PDGL,PDGL,PDGL,2018/3/1 12:00:00,23
BXC9,BXC9,BXC9,2018/3/1 12:00:00,24
BXAE-A,BXAE-A,BXAE-A,2018/3/1 12:00:00,25
BQA1,BQA1,BQA1,2018/3/1 12:00:00,26
BXBX,BXBX,BXBX,2018/3/1 12:00:00,27
BXBY,BXBY,BXBY,2018/3/1 12:00:00,28
BXC1,BXC1,BXC1,2018/3/1 12:00:00,29
BXC2,BXC2,BXC2,2018/3/1 12:00:00,30
BXA8,BXA8,BXA8,2018/3/1 12:00:00,31
PDHD,PDHD,PDHD,2018/3/1 12:00:00,32
BXCC,BXCC,BXCC,2018/3/1 12:00:00,33
PDHF,PDHF,PDHF,2018/3/1 12:00:00,34
BXCD,BXCD,BXCD,2018/3/1 12:00:00,35
BQAG,BQAG,BQAG,2018/3/1 12:00:00,36
PDRC,PDRC,PDRC,2018/3/1 12:00:00,9
PDAL,PDAL,PDAL,2018/3/1 12:00:00,10
PDGA,PDGA,PDGA,2018/3/1 12:00:00,13
PDQP,PDQP,PDQP,2018/3/1 12:00:00,14
PDIT,PDIT,PDIT,2018/3/1 12:00:00,15
PDQZ,PDQZ,PDQZ,2018/3/1 12:00:00,16
BQA1-A,BQA1-A,BQA1-A,2018/3/1 12:00:00,17
BXBB,BXBB,BXBB,2018/3/1 12:00:00,18
BXBN,BXBN,BXBN,2018/3/1 12:00:00,19
BXBM,BXBM,BXBM,2018/3/1 12:00:00,20
PDAN,PDAN,PDAN,2018/3/1 12:00:00,21
BTB2,BTB2,BTB2,2018/3/1 12:00:00,23
BTA1,BTA1,BTA1,2018/3/1 12:00:00,24
BXAL,BXAL,BXAL,2018/3/1 12:00:00,25
BXBH,BXBH,BXBH,2018/3/1 12:00:00,26
BXAE,BXAE,BXAE,2018/3/1 12:00:00,27
BXBX,BXBX,BXBX,2018/3/1 12:00:00,28
BXBY,BXBY,BXBY,2018/3/1 12:00:00,29
BXC1,BXC1,BXC1,2018/3/1 12:00:00,30
BXC2,BXC2,BXC2,2018/3/1 12:00:00,31
BXC3,BXC3,BXC3,2018/3/1 12:00:00,32
PDGD,PDGD,PDGD,2018/3/1 12:00:00,33
BXCB-A,BXCB-A,BXCB-A,2018/3/1 12:00:00,34
BXBW-A,BXBW-A,BXBW-A,2018/3/1 12:00:00,35
BQA2,BQA2,BQA2,2018/3/1 12:00:00,36
PDHD,PDHD,PDHD,2018/3/1 12:00:00,37
BXCC,BXCC,BXCC,2018/3/1 12:00:00,38
PDHF,PDHF,PDHF,2018/3/1 12:00:00,39
BXCD,BXCD,BXCD,2018/3/1 12:00:00,40
PDSA,PDSA,PDSA,2018/3/1 12:00:00,2
PDRF,PDRF,PDRF,2018/3/1 12:00:00,3
PDBA,PDBA,PDBA,2018/3/1 12:00:00,4
PDEE,PDEE,PDEE,2018/3/1 12:00:00,5
PDDC,PDDC,PDDC,2018/3/1 12:00:00,6
PDRC,PDRC,PDRC,2018/3/1 12:00:00,7
PDAB,PDAB,PDAB,2018/3/1 12:00:00,8
PDTG,PDTG,PDTG,2018/3/1 12:00:00,10
PDHK,PDHK,PDHK,2018/3/1 12:00:00,12
BTA1,BTA1,BTA1,2018/3/1 12:00:00,14
BTB9,BTB9,BTB9,2018/3/1 12:00:00,15
PDMC,PDMC,PDMC,2018/3/1 12:00:00,17
PDEA,PDEA,PDEA,2018/3/1 12:00:00,19
PDDT,PDDT,PDDT,2018/3/1 12:00:00,20
PDMA,PDMA,PDMA,2018/3/1 12:00:00,23
PDEB,PDEB,PDEB,2018/3/1 12:00:00,25
PDDU,PDDU,PDDU,2018/3/1 12:00:00,26
PDQP,PDQP,PDQP,2018/3/1 12:00:00,28
BXBM,BXBM,BXBM,2018/3/1 12:00:00,30
